cid,name,address,architect,artists,built,caption,clergy,consecrated,dedication,denomination,englishname,fax,image,national,phone,titular,type,url
2098,"Sant'Omobono","Vico Jugario  00186 Roma",,,"15th century",,,,"St Homobonus of Cremona","Roman Catholic Church","St Homobonus",,,,,,,
2099,"Sant'Onofrio al Gianicolo","Piazza Sant'Onofrio 2",,"Domenichino, Baldassarre Peruzzi, Agostino Carracci",1439,,,,"St Onuphrius","Roman Catholic Church","St Onuphrius at the Janiculum",,,,,,"Titular church",
2104,"Sant'Orso",,,,,,,,"St Ursus","Roman Catholic Church","St Ursus",,,,,,,
3900,"Sant'Orsola della Pietà","Corso Vittorio Emanuele (roadway at west end, by bridge)",,,"16th century",,,,Ursula,"Roman Catholic","St Ursula of Piety",,,,,,"Deconsecrated and demolished",
3764,"Sant'Ugo Vescovo","Via Lina Cavalieri 3",,,1991,,,,"Hugh of Grenoble","Roman Catholic","St Hugh the Bishop",,,,,,,
2154,"Sant'Urbano","Via della Caffarella/Vicolo Sant'Urbano <BR> 00179 Roma",,,"2nd cent.,",,,"10th century","St Urban","Roman Catholic Church","St Urban",,,,"06 69 88 61 21",,,
3917,"Sant'Urbano alla Caffarella","Via della Caffarella/Vicolo Sant'Urbano <BR> 00179 Roma",,,"2nd cent.,",,,"10th century","St Urban","Roman Catholic Church","St Urban",,,,"06 69 88 61 21",,,
1832,"Santa Balbina","Via di Santa Balbina 8 00153 Roma",,,"4th century?",,"Diocesan clergy",,Balbina,"Roman Catholic Church","St Balbina",,Santa_balbina.JPG,,"06 57 80 207","Péter Erdö",,
4884,"Santa Barbara alle Capannelle","Via Settingiano 5",,,1953,,,,Barbara,"Roman Catholic","St Barbara in Capannelle",,,,,,,
1933,"Santa Barbara dei Librai","186 Largo dei Librai  00186 Roma","Giuseppe Passeri, Bonoli","Ambrogio Parisi, Monacelli, Luigi Garzi,","11th century, rebuilt in 1680 and 1858",,Diocesan,1306,"<nowiki>Barbara, Thomas Aquinas</nowiki>","Roman Catholic Church","St Barbara of the Booksellers",,,,"06 71 88 626",,,
3406,"Santa Barbara nel Castello della Castelluccia",,,,"Early 13th century",,,,Barbara,"Roman Catholic","St Barbara in Castelluccia Castle",,,,,,"Public chapel",
3153,"Santa Bernadette Soubirous","Via Ettore Franceschini 40",,,1975,,,,Bernardette,"Roman Catholic","St Bernardette Soubirous",,,,,,,
1939,"Santa Bibiana","154 Via Giovanni Giolitti  00185 Roma",Bernini,"Pietro da Cortona Agostino Ciampelli","5th century, rebuilt in 17th century",,,467,Bibiana,"Roman Catholic Church","St Bibiana",,,,06-44.65.235,,,www.santabibiana.com
4440,"Santa Bonosa","Piazza di Santa Bonosa (now Via dell'Olmetto)",,,"5th century?",,,,Bonosa,"Roman Catholic","St Bonosa",,,,,,Demolished,
1947,"Santa Brigida a Campo de' Fiori","96 Piazza Farnese   00186 Roma","Andrea Fucina, Raffaele Ingami","Eugenio Cisterna, Tommaso Righi, Virginio Monti.","1513, restored in 18th century",,"Bridgittine Order",,"St Bridget of Sweden","Roman Catholic Church","St Bridget at Campo de'Fiori","06 68 21 91 26",Brigida.jpg,Sweden,"06 68 89 25 96",,"National church","http://www.brigidine.org Official Site"
3528,"Santa Brigida delle Suore Brigidine","Via delle Isole 34",,,"20th century",,,,"Brigid of Sweden","Roman Catholic","St Brigid of the Brigettine Sisters",,,,,,,
3158,"Santa Brigida di Svezia","Via Luzzana 13",,,"1983 (apartment building converted)",,,,"Brigid of Sweden","Roman Catholic","St Brigid of Sweden",,,,,,,
1954,"Santa Caterina a Magnanapoli","Salita del Grillo 37 (Largo Magnanapoli)00184 Roma","Carlo Maderno, Giovanni Battista Soria","Francesco Rosa, Carlo Marchionni","17th century",,Diocesan,,"St Catherine of Siena","Roman Catholic Church","St Catherine at Magnanapoli",,,,"06 67 95 100",,,
4576,"Santa Caterina da Siena a Via Giulia","Via Giulia/Via Monserrato 62/A   00186 Roma","Paolo Posi",,1766-1770,,,,"St Catherine of Siena","Roman Catholic Church","St Catherine of Siena",,,,"06 68 79 786",,,
1462,"Santa Caterina dei Funari","Via dei Funari","Guidetto Guidetti","Annibale Carracci",1564,,,,"Catherine of Alexandria","Roman Catholic","St Catherine's of the Ropemakers",,Santa_caterina_dei_funari_2701.JPG,,,,,
4506,"Santa Caterina dell' Esedra","Piazza della Repubblica, junction with Via Nazionale",,,"End 16th century",,,,"Catherine of Alexandria","Roman Catholic","St Catherine of the Exedra",,,,,,Demolished,
3866,"Santa Caterina della Rota","Via di San Girolamo della Carità 80",,,"16th century",,,,"Catherine of Alexandria","Roman Catholic","St Catherine of the Wheel",,,,,,,
1956,"Santa Cecilia in Trastevere","22 Piazza di Santa Cecilia  ","Ferdinando Fuga, Bonoli","Sebastiano Conca, Guido Reni, Stefano Maderno","9th century, rebuilt in 18th century",,,,"St Cecilia","Roman Catholic Church","St Cecilia in Trastevere",,,,"06 71 88 626","Carlo Maria Martini, S.J","Titular church",
1959,"Santa Chiara","Piazza S. Chiara 4200186 Roma","Luca Carimini","Domenico Bartolini","1592, rebuilt 1883",,"Congregation of the Holy Spirit",,"St Clare of Assisi","Roman Catholic Church","St Clare",,Chiara.jpg,,"06 68 80 15 26",,,
4069,"Santa Chiara a Monteverde Nuovo","Via Vitellia 97",,,"20th century",,,,"Clare of Assisi","Roman Catholic","St Clare at New Greenhill",,,,,,,
3165,"Santa Chiara a Vigna Clara","Via Riccardo Zandonai 4",,,1959,,,,Clare,"Roman Catholic","St Clare in Clare's Vineyard",,,,,,,
3382,"Santa Chiara a Villa York","Villa York",,,c1650,,,,"Clare of Assisi","Roman Catholic","St Clare at the Villa York",,,,,,Deconsecrated,
4905,"Santa Chiara al Centro di Produzione della RAI di Saxa Rubra","Largo Villy De Luca",,,1990,,,,"Clare of Assisi","Roman Catholic","St Clare at the Production Centre of RAI at Red Stone",,,,,,,
4499,"Santa Chiara al Quirinale","Via del Quirinale",,,"Early mediaeval, 1574",,,,"Clare of Assisi","Roman Catholic","St Clare at the Quirinal",,,,,,Demolished,
3166,"Santa Chiara alla Borghesiana","Via Contessa Entellina",,,"20th century",,,,"Clare of Assisi","Roman Catholic","St Clare at the Borghesiana",,,,,,,
1963,"Santa Costanza","Via Nomentana 349",,,"c360, converted to church 1254","San Costanza",,,"Constantia Augusta",Catholic,"St Constantina (or Constance)",,Constanza.jpg,,,,,
4922,"Santa Croce a Monte Mario","Via Trionfale 181",,,"15th century",,,,"Holy Cross","Roman Catholic","Holy Cross at Mount Marius",,,,,,Demolished,
3004,"Santa Croce a Montecitorio","Via degli Uffici del Vicario 30",,,Mediaeval,,,,"Holy Cross","Roman Catholic","Holy Cross in Montecitorio",,,,,,,
4057,"Santa Croce a Via Aurelia","Via Aurelia 527",,,"20th century",,,,"Holy Cross","Roman Catholic","Holy Cross on the Aurelian Way",,,,,,,
1966,"Santa Croce a Via Flaminia","Via Guido Reni 2d  00196 Roma","Aristide Leonori","Biagio Biagetti",1913,,"Congregation of the Sacred Stigmata",1918,"Holy Cross","Roman Catholic Church","Holy Cross in Via Flaminia",,,,"06 32 40 509",,"Titular church Minor basilica",
3001,"Santa Croce delle Scalette","Via della Lungara 19",,,1619,,,,"Holy Cross","Roman Catholic","Holy Cross of the Little Staircase",,,,,,,
1965,"Santa Croce e San Bonaventura dei Lucchesi","3 Via dei Lucchesi 00187 Roma","Mattia de Rossi, Virginio Vespignani","Giovanni Coli, Filippo Gherardi, Francesco Grandi et al.",1575,,"Sisters of Mary Reparatrix",,"St Bonaventure, Holy Cross","Roman Catholic Church","Holy Cross and St Bonaventure of the Lucchese","06 67 91 840",,,"06 67 92 017",,,
1766,"Santa Croce in Gerusalemme","12 Piazza di Santa Croce in Gerusalemme",,,"Original structure late 2nd century?","18th century façade","Cistercian Order","?330, with later reconsecrations","The True Cross","Roman Catholic Church","Holy Cross in Jerusalem",,"Crocegerusalemme 2.jpg",No,,"Miloslav Vlk",,
3548,"Santa Domitilla","Via delle Sette Chiese 282",,,"395, rebuilt 1870",,,,"Flavia Domitilla","Roman Catholic","Santa Domitilla",,,,,,,
1975,"Santa Dorotea","Via di Santa Dorotea 23",,,1756,,,,"Dorothy of Caesarea","Roman Catholic","St Dorothy",,,,,,,
4056,"Santa Dorotea a Tuscolano","Via Matera 18",,,"20th century",,,,Dorothy,"Roman Catholic","St Dorothy in Tuscolano",,,,,,,
3717,"Santa Dorotea a Val Cannuta","Via Raffaele Conforti 25",,,"20th century",,,,Dorothy,"Roman Catholic","St Dorothy at Cannuta Valley",,,,,,,
3196,"Santa Eufemia","Foro Traiano",,,Mediaeval,,,,"Euphemia of Chalcedon","Roman Catholic","St Euphemia",,,,,,,
3194,"Santa Faustina Kowalska","Via Dronero 9",,,2009,,,,"Faustina Kowalska","Roman Catholic","St Faustina Kowalska",,,,,,,
4073,"Santa Felicita a Domus Aurea","Domus Aurea",,,"5th century",,,,"Felicity of Rome","Roman Catholic","St Felicity at the Domus Aurea",,,,,,,
3018,"Santa Francesca Cabrini","Piazza Massa Carrara 15",,,1958,,,,"Frances-Xavier Cabrini","Roman Catholic","St Frances Cabrini",,,,,,,
1985,"Santa Francesca Romana","Piazza di Santa Francesca Romana 4",,,1161,,,,"Frances of Rome, Blessed Virgin Mary","Roman Catholic","St Frances of Rome at the Roman Forum (St Mary the New)",,,,,,,
3019,"Santa Francesca Romana a Ponte Rotto","Via dei Vascellari 61",,,Mediaeval,,,,"Frances of Rome, Blessed Virgin Mary","Roman Catholic","St Frances of Rome at the Broken Bridge",,,,,,,
3205,"Santa Francesca Romana a Strada Felice","Via Sistina 129",,,1614,,,,"Frances of Rome","Roman Catholic","St Frances of Rome in Happy Street",,,,,,Demolished,
3206,"Santa Francesca Romana all'Ardeatino","Via Luigi Capucci 15",,,1936,,,,"Frances of Rome","Roman Catholic","St Frances of Rome at Ardeatino",,,,,,,
3024,"Santa Galla","Circonvallazione Ostiense 195",,,1940,,,,Galla,"Roman Catholic","St Galla",,,,,,,
3219,"Santa Galla Antiqua","Via Petroselli",,,1725,,,,Galla,"Roman Catholic","St Galla the Old",,,,,,"Deconsecrated and demolished",
4953,"Santa Gemma Galgani a Casalotti","Piazza del Castello di Porcareccia 33",,,1954,,,,"Gemma Galgani","Roman Catholic","St Gemma Galgani at Casalotti",,,,,,,
4954,"Santa Gemma Galgani a Monte Sacro","Via Monte Meta",,,1988,,,,"Gemma Galgani","Roman Catholic","St Gemma Galgani at Sacred Mountain",,,,,,,
4959,"Santa Gianna Beretta Molla","Via Amadeo Bocchi 169",,,"21st century",,,,"Jane Beretta Molla","Roman Catholic","Saint Jane Beretta Molla",,,,,,,
4960,"Santa Giovanna Antida Thouret a Fonte Meravigliosa","Via Roberto Ferruzzi 110",,,1993,,,,"Jeanne Antide Thouret","Roman Catholic","Jeanne Antide Thouret at the Marvellous Fountain",,,,,,,
4661,"Santa Giovanna Antida Thouret delle Suore della Carità","Circonvallazione Clodia 3",,,1940,,,,"Jeanne Antide Thouret","Roman Catholic","St Jeanne Antide Thouret of the Sisters of Charity",,,,,,,
3249,"Santa Giulia Billiart","Via Antonio Averulino Filarete 227",,,1991,,,,"Julia Billiart","Roman Catholic","St Julia Billiart",,,,,,,
3564,"Santa Giuliana","Via Alessandro Algardi 19",,,1936,,,,"Juliana Falconieri","Roman Catholic","St Juliana",,,,,,,
3091,"Santa Lucia a Piazza d'Armi","Via di Santa Lucia 5",,,1936,,,,"Lucy of Syracuse","Roman Catholic","St Lucy in the Square of the Weapons",,,,,,,
3286,"Santa Lucia alle Botteghe Oscure","Church: Via delle Botteghe Oscure (on north pavement, west end)Chapel: Largo di Santa Lucia Filippini 20",,,"1630; 1938",,,,Lucy,"Roman Catholic","St Lucy at Botteghe Oscure",,,,,,Demolished,
2036,"Santa Lucia del Gonfalone","12 Via dei Banchi Vecchi  00186 Roma",,,1511,,"Archconfraternity of the Gonfalone",,"St Lucy","Roman Catholic Church","St Lucy of the Gonfalone","06 68 19 97 60",Lucia_dei_Gonfalone.jpg,,"06 68 80 61 69",,"Titular church",www.santaluciagonfalone.it
3086,"Santa Lucia della Tinta","Via di Monte Brianzo 61",,,"16th century",,,,,Catholic,"St Lucy of the Dye",,Lucia_della_Tinta.jpg,,,,,
2037,"Santa Lucia in Selci","82 Via in Selci   00184 Roma","Carlo Maderno Francesco Borromini","Giovanni Antonio Lelli, Cavaliere d'Arpino","Before 8th cent., altered in 17th century",,Augustinians,,"St Lucy","Roman Catholic Church","St Lucy at Selci",,,,"06 48 27 623",,"Titular church,",
3294,"Santa Maddalena di Canossa","Via della Lucchina 82",,,1996,,,,"Mary-Magdalen of Canossa","Roman Catholic","St Magdalen of Canossa",,,,,,,
3295,"Santa Marcella","Piazza Nicoloso da Recco 12",,,1958,,,,Marcella,"Roman Catholic","St Marcella",,,,,,,
2043,"Santa Margherita di Antiochia","Piazza S. Apollonia 44  00153 Roma","Carlo Fontana","Il Baciccio ,Giacinto Brandi, Giuseppe Ghezzi",,,"Diocesan rector",,"SS Margaret of Antioch and Emygdius","Roman Catholic Church","St Margaret of Antioch",,,,"06 58 03 084",,,
3299,"Santa Margherita in Prigione","Viale Carlo Felice (city wall to south)",,,"275 (wall tower); 12th century (fitted out as church)",,,,"Margaret of Antioch","Roman Catholic","St Margaret in Prison",,,,,,Deconsecrated,
4991,"Santa Margherita-Maria Alacoque a Tor Vergata","Via Michele Pantanelle 5 (old church Via Antonio Carpene 41)",,,2005,,,,,"Roman Catholic","St Margaret Mary Alacoque at the Lined Tower",,,,,,,
3298,"Santa Margherita-Maria Alacoque all'Esquilino","Via Germano Sommellier 38",,,1925,,,,"Margaret-Mary -Alacoque","Roman Catholic","St Margaret-Mary Alacoque on the Esquiline",,,,,,,
1414,"Santa Maria Addolorata a Piazza Buenos Aires","81 Viale Regina Margherita 00198 Roma","Giuseppe Astorri","Giambattista Conti",1910&ndash;1930,,"Argentinian diocesan clergy",1930,"Blessed Virgin Mary","Roman Catholic","Our Lady of Sorrows at Piazza Buenos Aires","06 84 40 13 51",,Argentine,"06 84 40 13 01","Raúl Francisco Primatesta","National church",
3301,"Santa Maria Addolorata a Tor di Quinto","Via Flaminia 631",,,"Late 19th century",,,,"Blessed Virgin Mary (Our Lady of Sorrows)","Roman Catholic","St Mary Sorrowing at the Tower of the Fifth",,,,,,,
3300,"Santa Maria Addolorata ai Goranni","Via della Venezia Giulia 134",,,2000,,,2001,"Blessed Virgin Mary (Our Lady of Sorrows}","Roman Catholic","St Mary Sorrowing at the Goranni",,,,,,,
3302,"Santa Maria Addolorata all’Esquilino","Via San Quintino 4",,,1928,,,,"Blessed Virgin Mary (Our Lady of Sorrows)","Roman Catholic","St Mary Sorrowing on the Esquiline",,,,,,,
3303,"Santa Maria Addolorata dei Neofiti","Via Baccina 58/A",,,1826,,,,"Blessed Virgin Mary (Our Lady of Sorrows)","Roman Catholic","St Mary Sorrowing of the Neophytes",,,,,,Deconsecrated,
3304,"Santa Maria Addolorata dei Sacconi Rossi","Piazza di San Bartolomeo all'Isola",,,"17th century",,,,"Blessed Virgin Mary (Our Lady of Sorrows)","Roman Catholic","St Mary of Sorrows of the Red Sacks",,2011_Sacconi_Rossi.jpg,,,,Deconsecrated,
3305,"Santa Maria Addolorata in Trastevere","Via della Paglia",,,1819,,,,"Blessed Virgin Mary (Our Lady of Sorrows)","Roman Catholic","St Mary Sorrowing in Trastevere",,,,,,,
3308,"Santa Maria Annunziata a Tor de’Specchi","Via del Teatro di Marcello",,,1610,,,,"Blessed Virgin Mary (Annunciation)","Roman Catholic","St Mary's Annunciation at the Tower of Mirrors",,,,,,,
3306,"Santa Maria Annunziata ai Monti","Forum of Augustus",,,"Late 16th century (incorporating part of ancient temple)",,,,"Blessed Virgin Mary (Annunciation)","Roman Catholic","St Mary's Annunciation at Monti",,,,,,"Deconsecrated and demolished (except for ancient bits)",
3310,"Santa Maria Annunziata delle Monache Celesti","Via Portuense 771",,,1939,,,,"Blessed Virgin Mary (Annunciation)","Roman Catholic","St Mary's Annunciation of the Sky Blue Nuns",,,,,,,
3309,"Santa Maria Annunziata delle Turchine","Via Francesco Sforza 5",,,1676,,,,"Blessed Virgin Mary (Annunciation)","Roman Catholic","St Mary's Annunciation of the Turquoise Ones",,,,,,Deconsecrated,
3097,"Santa Maria Annunziata in Borgo","Borgo Santo Spirito","Pietro Passalacqua",,"1745, rebuilt on different site 1950.",,,,"Annunciation to St Mary",Catholic,"The Announcement to St Mary in the Borough",,,,,,,
1516,"Santa Maria Antiqua","1 Largo Romolo e Remo (Forum Romanum archaeological site)",,,"6th century, original fabric 1st century",,None,,"Blessed Virgin Mary","Roman Catholic","Ancient St Mary's",,,,,,,
3591,"Santa Maria Assunta a Cacaricola","Via Giovanni Caproni 26 (?)",,,"20th century",,,,"Blessed Virgin Mary (Assumption)","Roman Catholic","St Mary's Assumption at Cacaricola",,,,,,,
3592,"Santa Maria Assunta ai Palazzoni","Via Cristoforo Colombo 310",,,"20th century",,,,"Blessed Virgin Mary (Assumption)","Roman Catholic","St Mary's Assumption of the Apartment Blocks",,,,,,,
3311,"Santa Maria Assunta al Gianicolo","Via delle Mantellate 11",,,1820,,,,"Blessed Virgin Mary (Assumption)","Roman Catholic","St Mary's Assumption on the Janiculum",,,,,,,
3098,"Santa Maria Assunta al Tufello","Via Monte Massico 14",,,1950,,,,"Assumption of Mary","Roman Catholic","St Mary Taken (into Heaven) at the Little Dive.",,,,,,,
4995,"Santa Maria Assunta all'Idroscalo","Via della Carlinga 97",,,"1970's",,,,"Blessed Virgin Mary (Assumption)","Roman Catholic","St Mary's Assumption at the Seaplane Station",,,,,,,
3593,"Santa Maria Assunta delle Suore di San Giovanni Battista","Viale Giulio Cesare 116",,,"Early 20th century",,,,"Blessed Virgin Mary (Assumption)","Roman Catholic","St Mary's Assumption of the Sisters of St John Baptist",,,,,,,
3312,"Santa Maria Assunta e San Giuseppe a Primavalle","Via dei Monti di Primavalle 3",,,1953,,,,"Blessed Virgin Mary (Assumption) and Joseph","Roman Catholic","St Mary Taken (into Heaven) and St Joseph at Primavalle",,,,,,,
3316,"Santa Maria Assunta e San Michele a Castel Romano","Via di Trigoria 301",,,1731,,,,"Blessed Virgin Mary (Assumption) and Michael the Archangel","Roman Catholic","St Mary Taken (into Heaven) and St Michael at the Roman Castle",,,,,,,
5001,"Santa Maria Ausiliatrice","Piazza S. Maria Ausiliatrice 54   00181 Roma",,,,,Salesians,,"Blessed Virgin Mary","Roman Catholic Church","Our Lady the Helper",,,,"06 78 27 892","Paolo Sardi","Titular church, Minor basilica",
3596,"Santa Maria Bambina","Via del Fontanile Nuovo 104",,,"20th century",,,,"Blessed Virgin Mary","Roman Catholic","Our Lady as a Baby",,,,,,,
3317,"Santa Maria Causa Nostrae Laetitiae","Piazza Siderea 1/A",,,1941,,,,"Blessed Virgin Mary (Causa Nostrae Laetitiae)","Roman Catholic","St Mary, Cause of Our Joy",,,,,,,
4753,"Santa Maria Consolata al Tufello","Via Piero Foscari 52",,,"20th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary the Consoling One",,,,,,,
3597,"Santa Maria Consolatrice a Labaro","Via Francesco Torfanini 27",,,"Mid 20th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary the Consoler at Labaro",,,,,,,
3099,"Santa Maria Consolatrice al Tiburtino","Via Casal Bertone 80",,,1945,,,,"Blessed Virgin Mary (Our Lady of Consolation)","Roman Catholic","St Mary the Consoler at Tiburtino",,,,,,,"http://www.vicariatusurbis.org/santamariaconsolatrice/ Home page"
3388,"Santa Maria Domenica Mazzarello","Piazza Salvatore Galgano 100",,,1997,,,,"Mary Domenica Mazzarello","Roman Catholic","St Mary Domenica Mazzarello",,,,,,,
3109,"Santa Maria Egiziaca","Piazza della Bocca della Verità",,,"1st century BC (building), 872 (church)",,,,"Mary of Egypt","Roman Catholic","St Mary of Egypt",,,,,,Deconsecrated,
4101,"Santa Maria Genitrice a Via Appia","Via Appia Antica, eighth milestone",,,"4th century, church 10th century",,,,"Blessed Virgin Mary","Roman Catholic","Mary the Birth-Giver on the Via Appia",,2011_Maria_Genitrice_a_Via_Appia.jpg,,,,,
3389,"Santa Maria Goretti","Via Santa Maria Goretti 29",,,1954,,,,"Maria Goretti","Roman Catholic","St Maria Goretti",,SantaMariaGoretti.jpg,,,,,
3422,"Santa Maria Goretti a Casal Lumbroso","Via Tommaso Mosca 17",,,2006,,,,"Maria Goretti","Roman Catholic","St Mary Goretti at Casal Lumbroso",,,,,,,
3394,"Santa Maria Immacolata a Grottarossa","Via Flaminia 994",,,1935,,,,"Blessed Virgin Mary (Immaculate Conception)","Roman Catholic","St Mary Immaculate at the Red Cave",,,,,,,
4794,"Santa Maria Immacolata a Torre Angela","Via Giovanni Rizzi 15",,,"20th century",,,,?,"Roman Catholic","Sisters of St Clare, Chapel of",,,,,,,
3395,"Santa Maria Immacolata a Via Laurentina","Via Laurentina 450",,,,,,,"Blessed Virgin Mary (Immaculate Conception)","Roman Catholic","St Mary Immaculate on the Laurentine Way",,,,,,,
3397,"Santa Maria Immacolata a Villa Borghese","Piazza di Siena, Villa Borghese.",,,1792,,,,"Blessed Virgin Mary (Immaculate Conception)","Roman Catholic","St Mary Immaculate at the Villa Borghese",,,,,,,
4491,"Santa Maria Immacolata al Collegio Massimiliano Massimo","Via Enrico de Nicola 79",,,1887,,,,"Blessed Virgin Mary, Immaculate Conception","Roman Catholic","St Mary Immaculate at the Maximilian Massimo College",,,,,,Deconsecrated,
4493,"Santa Maria Immacolata al Collegio Pio Latino Americano","Via Giuseppe Gioacchino Belli 3",,,1888,,,,"Blessed Virgin Mary, Immaculate Conception","Roman Catholic","St Mary Immaculate of the Latin American College",,,,,,Demolished,
3402,"Santa Maria Immacolata all'Esquilino","Via Emanuele Filiberto 129",,,1914,,,,"Blessed Virgin Mary (Immaculate Conception)","Roman Catholic","St Mary Immaculate on the Esquiline",,,,,,,
3396,"Santa Maria Immacolata alla Cervelletta","Piazza della Cervelletta 1",,,1912,,,,"Blessed Virgin Mary (Immaculate Conception)","Roman Catholic","St Mary Immaculate at the Cerveletta",,,,,,,
3423,"Santa Maria Immacolata alla Giustiniana","Via Cassia 1286",,,"17th century (old), mid 20th century (new)",,,,"Blessed Virgin Mary (Immaculate Conception)","Roman Catholic","St Mary Immaculate at the Giustiniana",,,,,,,
4492,"Santa Maria Immacolata del Istituto Massimo","Via Massimiliano Massimo 7",,,"20th century",,,,"Blessed Virgin Mary (Immaculate Conception)","Roman Catholic","St Mary Immaculate of the Maximus Institute",,,,,,,
4496,"Santa Maria Immacolata del Istituto Scolastico Nazareth","Via Cola di Rienzo 140",,,1892,,,,"Blessed Virgin Mary, Immaculate Conception","Roman Catholic","St Mary Immaculate at the Scholastic Institute of Nazareth",,,,,,,
4772,"Santa Maria Immacolata delle Piccole Sorelle dei Poveri","Piazza di San Pietro in Vincoli 6",,,1883,"The chapel from Via Eudossiana.",,,"Blessed Virgin Mary, Immaculate Conception","Roman Catholic","St Mary Immaculate of the Little Sisters of the Poor",,2011_Antonio_Abate_a_Vincoli.jpg,,,,,
3398,"Santa Maria Immacolata di Lourdes a Boccea","Via Santa Bernadette 23",,,1958,,,,"Blessed Virgin Mary (Our Lady of Lourdes)","Roman Catholic","St Mary Immaculate of Lourdes at Boccea",,,,,,,
5016,"Santa Maria Immacolata di Monte del Gallo","Via di Monte del Gallo 105",,,"20th century",,,,"Blessed Virgin Mary (Immaculate Conception)","Roman Catholic","St Mary Immaculate at the Cock Mount",,,,,,,
3401,"Santa Maria Immacolata e S Vincenzo de Paoli","Via di Tor Sapienza 52",,,1950,,,,"Blessed Virgin Mary (Immaculate Conception), Vincent de Paul","Roman Catholic","St Mary Immaculate and St Vincent de Paul",,,,,,,
3399,"Santa Maria Immacolata e San Giovanni Berchmans","Via degli Etruschi 36",,,1909,,,,"Blessed Virgin Mary, John Berchmans","Roman Catholic","St Mary Immaculate and St John Berchmans",,,,,,,
3400,"Santa Maria Immacolata e San Giuseppe Benedetto Labre","Via Taranto 51",,,"Early 20th century",,,,"Blessed Virgin Mary, St Benedict Joseph Labre","Roman Catholic","St Mary Immaculate and St Benedict Joseph Labre",,,,,,,
4447,"Santa Maria Imperatrice","Via dei Santi Quattro, east end",,,"17th century, 19th century",,,,"<nowiki>Blessed Virgin Mary</nowiki>","Roman Catholic","St Mary the Empress",,,,,,Demolished,
3448,"Santa Maria Janua Coeli","Via Cornelia 89",,,"Mid 20th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary, Gate of Heaven",,,,,,,
3449,"Santa Maria Josefa del Cuore di Gesù","Piazza Santa Maria Josefa del Cuore di Gesù 25, Castelverde di Lunghezza",,,2001,,,,"Mary-Joseph-of-the-Heart-of-Jesus Sancho de Guerra","Roman Catholic","St Mary Joseph of the Heart of Jesus",,,,,,,
3450,"Santa Maria Liberatrice a Monte Testaccio","Via Lorenzo Ghiberti 2",,,1908,,,,"Blessed Virgin Mary (Our Lady, Liberatrix)","Roman Catholic","St Mary the Liberator at the Potsherd Mountain",,,,,,,
3451,"Santa Maria Liberatrice al Foro Romano","Roman Forum, on top of Santa Maria Antiqua",,,"12th century, mostly rebuilt 1617",,,,"Blessed Virgin Mary (Our Lady, Liberatrix)","Roman Catholic","St Mary the Liberator in the Roman Forum",,,,,,,
3453,"Santa Maria Maddalena De' Pazzi","Via Giovanni Zanardini 74",,,1983,,,,"Mary Magdalen de Pazzi","Roman Catholic","St Mary Magdalen de Pazzi",,,,,,,
3614,"Santa Maria Maddalena agli Arcacci","Via Trinitapoli 88",,,"20th century",,,,"Mary Magdalen","Roman Catholic","St Mary Magdalen at the Arcacci",,,,,,,
3104,"Santa Maria Maddalena al Quirinale","Via del Quirinale",,,"18th century",,,,"Mary Magdalen","Roman Catholic","St Mary Magdalen at the Quirinal",,,,,,"Deconsecrated and demolished",
4511,"Santa Maria Maddalena delle Convertite","Palazzo Marignoli, Corso",,,1585,,,,"Mary Magdalen","Roman Catholic","St Mary Magdalen of the Converted",,,,,,Demolished,
4459,"Santa Maria Maddalena nello Spedale de' Pazzi","Via della Lungara",,,1725,,,,"Mary Magdalen","Roman Catholic","St Mary Magdalen at the Hospital for the Mad",,,,,,Demolished,
3615,"Santa Maria Madre del Buon Consiglio a Saline","Via Anselmo Banduri",,,,,,,"Blessed Virgin Mary","Roman Catholic","St Mary, Mother of Good Counsel at Saline",,,,,,,
3454,"Santa Maria Madre del Redentore a Tor Bella Monaca","Via Duilio Cambellotti 18",,,1987,,,,"Blessed Virgin Mary","Roman Catholic","St Mary, Mother of the Redeemer at the Tower of the Beautiful Nun",,,,,,,
4771,"Santa Maria Madre dell'Accoglienza","Via Sacrofanese 25",,,2011,,,,"Blessed Virgin Mary",Catholic,"St Mary Mother of Welcome",,,,,,,
3373,"Santa Maria Madre della Chiesa","Via del Casale di Santa Maria 50",,,1983,,,,"Blessed Virgin Mary","Roman Catholic","St Mary, Mother of the Church",,,,,,,
3425,"Santa Maria Madre della Divina Grazia","Largo Domus de Maria 7, Ponte Galeria",,,"Late 20th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary Mother of Divine Grace",,,,,,,
3106,"Santa Maria Madre della Famiglia","Governatorio, Vatican City (west side)",,,1929,,,,"Blessed Virgin Mary","Roman Catholic","St Mary, Mother of the Family",06-69.88.24.17,,,06-69.89.79,,,
3456,"Santa Maria Madre della Misericordia","Via dei Gordiani 365",,,"Mid 20th century",,,,"Blessed Virgin Mary","Roman Catholic","St Mary, Mother of Mercy",,,,,,,
3457,"Santa Maria Madre della Provvidenza a Monte Verde","Via Donna Olimpia 35",,,1937,,,,"Blessed Virgin Mary","Roman Catholic","St Mary Mother of Providence at Green Mountain",,,,,,,
